task,provider,model,effort,port,status,win_levels,rhae,level0,level1,level2,level3,level4,level5,level6,level7,level8,level9,workdir
ar25,claude,claude-opus-4-8,max,,win,8,100.0,18,14,41,22,28,53,46,47,,,~/agent-dataset/claude-opus-4-8_max_ar25_100.0
bp35,claude,claude-fable-5,max,,win,9,93.51,19,47,36,22,59,42,57,67,217,,~/agent-dataset/claude-fable-5_max_bp35_93.51
cd82,claude,claude-opus-4-8,max,,win,6,100.0,38,11,25,15,16,16,,,,,~/agent-dataset/claude-opus-4-8_max_cd82_100.0
cn04,claude,claude-opus-4-8,max,,win,6,100.0,18,46,24,29,253,109,,,,,~/agent-dataset/claude-opus-4-8_max_cn04_100.0
dc22,claude,claude-fable-5,max,,win,6,98.7,50,95,55,71,475,459,,,,,~/agent-dataset/claude-fable-5_max_dc22_98.7
ft09,claude,claude-fable-5,max,,win,6,100.0,4,7,14,19,21,13,,,,,~/agent-dataset/claude-fable-5_max_ft09_100.0
g50t,claude,claude-opus-4-8,max,,win,7,100.0,138,57,75,116,52,63,43,,,,~/agent-dataset/claude-opus-4-8_max_g50t_100.0
ka59,claude,claude-opus-4-8,max,,win,7,100.0,30,51,33,90,20,90,117,,,,~/agent-dataset/claude-opus-4-8_max_ka59_100.0
lf52,claude,claude-fable-5,max,,win,10,100.0,14,43,53,51,96,151,373,68,130,51,~/agent-dataset/claude-fable-5_max_lf52_100.0
lp85,claude,claude-opus-4-8,max,,win,8,100.0,9,11,23,14,17,20,8,32,,,~/agent-dataset/claude-opus-4-8_max_lp85_100.0
ls20,claude,claude-opus-4-8,max,,win,7,100.0,19,59,69,49,65,261,120,,,,~/agent-dataset/claude-opus-4-8_max_ls20_100.0
m0r0,claude,claude-opus-4-8,max,,win,6,100.0,18,25,64,11,42,61,,,,,~/agent-dataset/claude-opus-4-8_max_m0r0_100.0
r11l,claude,claude-opus-4-8,max,,win,6,100.0,6,11,18,14,17,17,,,,,~/agent-dataset/claude-opus-4-8_max_r11l_100.0
re86,claude,claude-opus-4-8,max,,win,8,100.0,20,36,47,42,65,72,110,223,,,~/agent-dataset/claude-opus-4-8_max_re86_100.0
s5i5,claude,claude-opus-4-8,max,,win,8,89.87,17,39,100,178,87,28,125,69,,,~/agent-dataset/claude-opus-4-8_max_s5i5_89.87
sb26,claude,claude-fable-5,max,,win,8,98.63,9,15,15,15,17,19,17,28,,,~/agent-dataset/claude-fable-5_max_sb26_98.63
sc25,claude,claude-fable-5,max,,win,6,100.0,30,5,42,69,138,50,,,,,~/agent-dataset/claude-fable-5_max_sc25_100.0
sk48,claude,claude-fable-5,max,,win,8,100.0,42,30,46,32,38,145,56,54,,,~/agent-dataset/claude-fable-5_max_sk48_100.0
sp80,claude,claude-fable-5,max,,win,6,100.0,9,15,21,50,79,109,,,,,~/agent-dataset/claude-fable-5_max_sp80_100.0
su15,claude,claude-fable-5,max,,win,9,100.0,14,13,18,30,9,20,18,12,24,,~/agent-dataset/claude-fable-5_max_su15_100.0
tn36,claude,claude-fable-5,max,,win,7,94.74,12,16,27,15,21,25,94,,,,~/agent-dataset/claude-fable-5_max_tn36_94.74
tr87,claude,claude-opus-4-8,max,,win,6,100.0,25,28,26,21,14,24,,,,,~/agent-dataset/claude-opus-4-8_max_tr87_100.0
tu93,claude,claude-opus-4-8,max,,win,9,100.0,19,15,19,18,32,39,14,29,58,,~/agent-dataset/claude-opus-4-8_max_tu93_100.0
vc33,claude,claude-fable-5,max,,win,7,99.1,11,7,23,27,205,20,49,,,,~/agent-dataset/claude-fable-5_max_vc33_99.1
wa30,claude,claude-opus-4-8,max,,win,9,100.0,47,197,187,139,116,52,36,112,70,,~/agent-dataset/claude-opus-4-8_max_wa30_100.0
