task,provider,model,effort,port,status,win_levels,rhae,level0,level1,level2,level3,level4,level5,level6,level7,level8,level9,workdir
ar25,codex-cli,gpt-5.6-sol,xhigh,,win,8,100.0,21,13,40,22,28,53,37,47,,,~/agent-dataset/gpt_5_6_sol_xhigh_ar25
bp35,codex-cli,gpt-5.6-sol,max,,win,9,60.93,15,43,36,87,32,44,94,556,440,,~/agent-dataset/gpt_5_6_sol_max_bp35
cd82,codex-cli,gpt-5.6-sol,xhigh,,win,6,100.0,41,6,22,14,13,20,,,,,~/agent-dataset/gpt_5_6_sol_xhigh_cd82
cn04,codex-cli,gpt-5.6-sol,xhigh,,win,6,100.0,14,69,33,36,109,57,,,,,~/agent-dataset/gpt_5_6_sol_xhigh_cn04
dc22,codex-cli,gpt-5.6-sol,max,,win,6,100.0,72,44,46,70,187,395,,,,,~/agent-dataset/gpt_5_6_sol_max_dc22
ft09,codex-cli,gpt-5.6-sol,xhigh,,win,6,100.0,5,7,14,21,37,13,,,,,~/agent-dataset/gpt_5_6_sol_xhigh_ft09
g50t,codex-cli,gpt-5.6-sol,xhigh,,win,7,100.0,71,31,110,31,122,41,51,,,,~/agent-dataset/gpt_5_6_sol_xhigh_g50t
ka59,codex-cli,gpt-5.6-sol,max,,stopped,6,65.34,12,40,53,44,98,111,,,,,~/agent-dataset/gpt_5_6_sol_max_ka59
lf52,codex-cli,gpt-5.6-sol,max,,win,10,100.0,8,60,47,114,102,93,170,74,114,62,~/agent-dataset/gpt_5_6_sol_max_lf52
lp85,codex-cli,gpt-5.6-sol,xhigh,,win,8,100.0,6,9,22,14,17,20,8,24,,,~/agent-dataset/gpt_5_6_sol_xhigh_lp85
ls20,codex-cli,gpt-5.6-sol,xhigh,,win,7,100.0,16,101,41,51,48,193,83,,,,~/agent-dataset/gpt_5_6_sol_xhigh_ls20
m0r0,codex-cli,gpt-5.6-sol,xhigh,,win,6,100.0,23,35,67,19,85,42,,,,,~/agent-dataset/gpt_5_6_sol_xhigh_m0r0
r11l,codex-cli,gpt-5.6-sol,xhigh,,win,6,100.0,5,13,18,15,20,19,,,,,~/agent-dataset/gpt_5_6_sol_xhigh_r11l
re86,codex-cli,gpt-5.6-sol,xhigh,,win,8,100.0,23,39,47,60,123,102,138,290,,,~/agent-dataset/gpt_5_6_sol_xhigh_re86
s5i5,codex-cli,gpt-5.6-sol,xhigh,,win,8,100.0,14,49,46,58,32,27,90,40,,,~/agent-dataset/gpt_5_6_sol_xhigh_s5i5
sb26,codex-cli,gpt-5.6-sol,xhigh,,win,8,100.0,12,15,15,15,17,19,17,17,,,~/agent-dataset/gpt_5_6_sol_xhigh_sb26
sc25,codex-cli,gpt-5.6-sol,max,,win,6,82.72,42,6,27,140,83,61,,,,,~/agent-dataset/gpt_5_6_sol_max_sc25
sk48,codex-cli,gpt-5.6-sol,max,,win,8,87.8,24,76,44,422,89,93,95,134,,,~/agent-dataset/gpt_5_6_sol_max_sk48
sp80,codex-cli,gpt-5.6-sol,max,,win,6,100.0,7,9,11,39,56,42,,,,,~/agent-dataset/gpt_5_6_sol_max_sp80
su15,codex-cli,gpt-5.6-sol,max,,win,9,100.0,8,15,19,9,5,59,7,20,18,,~/agent-dataset/gpt_5_6_sol_max_su15
tn36,codex-cli,gpt-5.6-sol,max,,win,7,87.02,12,414,9,342,16,45,62,,,,~/agent-dataset/gpt_5_6_sol_max_tn36
tr87,codex-cli,gpt-5.6-sol,xhigh,,win,6,100.0,23,29,26,32,58,40,,,,,~/agent-dataset/gpt_5_6_sol_xhigh_tr87
tu93,codex-cli,gpt-5.6-sol,xhigh,,win,9,100.0,18,15,19,18,57,38,14,21,55,,~/agent-dataset/gpt_5_6_sol_xhigh_tu93
vc33,codex-cli,gpt-5.6-sol,xhigh,,win,7,100.0,7,7,33,52,93,20,49,,,,~/agent-dataset/gpt_5_6_sol_xhigh_vc33
wa30,codex-cli,gpt-5.6-sol,xhigh,,win,9,100.0,42,60,168,95,242,67,55,556,118,,~/agent-dataset/gpt_5_6_sol_xhigh_wa30
