Wednesday September 3,Lecture 1,Introduction and Definitions,,
Monday September 8,Lecture 2,Introduction to Inductive Synthesis, <a href="Assignment1.htm">Pset 1 published</a>,
Wednesday September 10,Lecture 3,Bottom Up Explicit Search,,
Monday September 15,Lecture 4,Top Down and Type Directed Explicit Search,,
Wednesday Sepbember 17,Lecture 5,Inductive Synthesis with Stochastic Search,,
Monday September 22,Lecture 6,Version Space Algebras and E-PEGs,Pset 1 due,
Wednesday September 24,Lecture 7,Synthesis with constraints;,,
Monday September 29,Lecture 8,Solving constraints with SAT solvers;,,Project teams due
Wednesday October 1,Lecture 9,Component Discovery;,<a href="Assignment2.htm">Pset 2 published</a>,
Monday October 6,Lecture 10,Basics of Language Modeling for Code;,,
Wednesday October 8,Lecture 11,Sampling from Large Language Models;,,
Monday October 13,Student Holiday,,,
Wednesday October 15,Lecture 12,Adapting Pre-Trained Models to New Tasks;,Pset 2 due ,
Monday October 20,Lecture 13,Program Synthesis with Reinforcement Learning,<a href="Assignment3.htm">Pset 3 published</a>,
Wednesday October 22,Lecture 14,Program Synthesis and Evolutionary Search,,
Monday October 27,Lecture 15,Neurosymbolic learning,,
Wednesday October 29,Lecture 16,Agents,,Project proposals due
Monday November 3,Lecture 17,Introduction to Verified Functional Synthesis,,
Wednesday November 5,Lecture 18,A brief introduction to constraint-based verification,Pset 3 due,
Monday November 10,Student Holiday,,,
Wednesday November 12,Lecture 19,From verification conditions to synthesis conditions,<a href="Assignment4.htm">Pset 4 published</a>,
Monday November 17,Lecture 20,Introduction to SMT and SyGuS;,,
Wednesday November 19,Lecture 21,Expressive Types;,,
Monday November 24,Lecture 22,Synthesis with Refinement Types;,,
Wednesday November 26,Lecture 23,Abstraction and abstract interpretation;,Pset 4 due,
Monday December 1,Lecture 24,Deductive Synthesis;,,
Wednesday December 3,Lecture 25,Theorem proving,,
Monday December 8,Project presentations,,,
Wednesday December 10,Project presentations,,,Final project due
